.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-04-24 14:09:16,015 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:16,018 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:16,018 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:16,019 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 13. Remaining data: 15790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:16,019 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:16,019 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 11. Remaining data: 0B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:16,020 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:16,020 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:16,020 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:16,023 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:16,100 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D35304157909200008D904157909200008D904157909200008D904157909200008D904157909200008D9
dbus-logger  | 2026-04-24 14:09:16,102 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:16,102 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:16,104 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D35304157909200008D904157909200008D9041579. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:16,107 - app.core.uart - ERROR - CRC FAIL for frame: 09200008D904157909200008D9. Skipping 13 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:16,109 - app.core.uart - INFO - Frame OK: 04157909200008D9
dbus-logger  | 2026-04-24 14:09:17,035 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:17,038 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:17,039 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:17,042 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:17,042 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:17,042 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:18,061 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D3530415790923005D8A0415790923005D8A
dbus-logger  | 2026-04-24 14:09:18,064 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:18,065 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:18,067 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:18,068 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:18,068 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:18,071 - app.core.uart - INFO - Frame OK: 0415790923005D8A
dbus-logger  | 2026-04-24 14:09:18,074 - app.core.uart - INFO - Frame OK: 0415790923005D8A
dbus-logger  | 2026-04-24 14:09:18,098 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0415790923005D8A0415790923005D8A0415790923005D8A
dbus-logger  | 2026-04-24 14:09:18,101 - app.core.uart - INFO - Frame OK: 0415790923005D8A
dbus-logger  | 2026-04-24 14:09:18,104 - app.core.uart - INFO - Frame OK: 0415790923005D8A
dbus-logger  | 2026-04-24 14:09:18,106 - app.core.uart - INFO - Frame OK: 0415790923005D8A
dbus-logger  | 2026-04-24 14:09:19,031 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:19,033 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:19,034 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:19,036 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:19,036 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:19,037 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:20,028 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:20,031 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:20,031 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:20,034 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:20,034 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:20,034 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:20,060 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 041579092600A27F041579092600A27F
dbus-logger  | 2026-04-24 14:09:20,063 - app.core.uart - INFO - Frame OK: 041579092600A27F
dbus-logger  | 2026-04-24 14:09:20,065 - app.core.uart - INFO - Frame OK: 041579092600A27F
dbus-logger  | 2026-04-24 14:09:20,096 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 041579092600A27F041579092600A27F041579092600A27F
dbus-logger  | 2026-04-24 14:09:20,098 - app.core.uart - INFO - Frame OK: 041579092600A27F
dbus-logger  | 2026-04-24 14:09:20,101 - app.core.uart - INFO - Frame OK: 041579092600A27F
dbus-logger  | 2026-04-24 14:09:20,103 - app.core.uart - INFO - Frame OK: 041579092600A27F
dbus-logger  | 2026-04-24 14:09:21,028 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:21,031 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:21,031 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:21,034 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:21,034 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:21,035 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:22,026 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:22,029 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:22,030 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:22,032 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:22,033 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:22,033 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:22,093 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 041579092A00E712041579092A00E712041579092A00E712041579092A00E712041579092A00E712
dbus-logger  | 2026-04-24 14:09:22,096 - app.core.uart - INFO - Frame OK: 041579092A00E712
dbus-logger  | 2026-04-24 14:09:22,099 - app.core.uart - INFO - Frame OK: 041579092A00E712
dbus-logger  | 2026-04-24 14:09:22,101 - app.core.uart - INFO - Frame OK: 041579092A00E712
dbus-logger  | 2026-04-24 14:09:22,104 - app.core.uart - INFO - Frame OK: 041579092A00E712
dbus-logger  | 2026-04-24 14:09:22,106 - app.core.uart - INFO - Frame OK: 041579092A00E712
dbus-logger  | 2026-04-24 14:09:22,980 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:22,983 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:23,023 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D353
