dbus-logger  | 2026-04-22 14:42:59,262 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:59,263 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:43:00,256 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:43:00,257 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:43:00,257 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:43:00,259 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:43:00,259 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:43:00,263 - app.core.uart - ERROR - CRC FAIL for frame: 0B00D3530315790B00D3530315790B. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:43:00,264 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:43:00,264 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:43:00,264 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:43:00,265 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:43:00,265 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:43:00,265 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 13. Remaining data: 15790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:43:00,265 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:43:00,266 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 11. Remaining data: 0B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:43:00,266 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:43:00,266 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:43:00,266 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:43:00,267 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:43:00,552 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:43:00,553 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:43:00,598 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 04157909FE003EF104157909FE003EF104157909FE003EF104157909FE003EF1
dbus-logger  | 2026-04-22 14:43:00,599 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:43:00,600 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:43:00,601 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:43:00,603 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:43:01,252 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
